1;AMAZONAS;1
2;ANTIOQUIA;1
3;ARAUCA;1
4;ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA;1
5;ATLANTICO;1
6;BOLIVAR;1
7;BOYACA;1
8;CALDAS;1
9;CAQUETA;1
10;CASANARE;1
11;CAUCA;1
12;CESAR;1
13;CHOCO;1
14;CORDOBA;1
15;CUNDINAMARCA;1
16;GUAINIA;1
17;GUAVIARE;1
18;HUILA;1
19;LA GUAJIRA;1
20;MAGDALENA;1
21;META;1
22;NARIÑO;1
23;NORTE DE SANTANDER;1
24;PUTUMAYO;1
25;QUINDIO;1
26;RISARALDA;1
27;SANTANDER;1
28;SUCRE;1
29;TOLIMA;1
30;VALLE DEL CAUCA;1
31;VAUPES;1
32;VICHADA;1
33;BOGOTA D.C.;1
